번호,원본 키워드,원본 레이어,필요충분조건 키워드,NSC 레이어,검증 키워드,최소 매칭 수
1,고장난 신호등,L2,신호 없는 교차로처럼 서행 진입하는 차량,L4,broken traffic light|malfunctioning traffic light|traffic light|signal light|light|signal|damaged,1
2,점멸 고정된 신호등,L2,일시정지 후 눈치껏 통과하는 차량,L4,flashing mode stuck traffic light|signal stuck on flashing|traffic light|signal light|light|signal|damaged,1
3,방향 어긋난 신호등,L2,신호 대상 착각하고 진입하는 차량,L4,misaligned traffic light|traffic light facing wrong direction|traffic light|signal light|light|signal|damaged,1
4,전구 나간 신호등,L2,신호 인지 못하고 그대로 통과하는 차량,L4,burnt out traffic light|traffic light bulb out|traffic light|signal light|light|signal|damaged,1
5,지연 반응하는 신호등,L2,신호 전환 예상 못하고 급정지하는 차량,L4,delayed traffic light|slow responding signal|traffic light|signal light|light|signal|damaged,1
6,야간 소등된 신호등,L2,야간에 무신호 교차로로 오인하는 차량,L4,traffic light off at night|unlit signal at night|traffic light|signal light|light|signal|damaged,1
7,색상 구분 어려운 신호등,L2,신호색 오판하고 진입하는 차량,L4,hard to distinguish traffic light color|faded signal color|traffic light|signal light|light|signal|damaged,1
8,정전으로 꺼진 신호등,L2,수신호 없이 임의로 진입하는 차량,L4,traffic light out due to power outage|signal down blackout|traffic light|signal light|light|signal|damaged,1
9,기울어진 신호등,L2,신호 놓치고 뒤늦게 정지하는 차량,L4,tilted traffic light|leaning traffic signal|traffic light|signal light|light|signal|damaged,1
10,가지에 가려진 신호등,L2,신호 확인 못하고 서행 진입하는 차량,L4,traffic light obscured by branches|tree blocking traffic signal|traffic light|signal light|light|signal|damaged,1
11,가려진 정지 표지판,L2,정지 없이 그대로 통과하는 차량,L4,obscured stop sign|blocked stop sign|stop sign|stop signage|sign|stop|damaged,1
12,쓰러진 정지 표지판,L2,우선순위 착각하고 진입하는 차량,L4,fallen stop sign|toppled stop sign|stop sign|stop signage|sign|stop|damaged,1
13,색 바랜 정지 표지판,L2,표지 인지 늦어 급정지하는 차량,L4,faded stop sign|discolored stop sign|stop sign|stop signage|sign|stop|damaged,1
14,훼손된 정지 표지판,L2,정지 의무 인지 못하는 차량,L4,damaged stop sign|vandalized stop sign|stop sign|stop signage|sign|stop|damaged,1
15,반사판 탈락된 정지 표지판,L2,야간에 표지 놓치고 통과하는 차량,L4,stop sign missing reflector|stop sign reflector detached|stop sign|stop signage|sign|stop|damaged,1
16,방향이 뒤바뀐 정지 표지판,L2,정지 대상 착각하는 차량,L4,stop sign facing wrong way|reversed stop sign|stop sign|stop signage|sign|stop|damaged,1
17,낙서로 가려진 정지 표지판,L2,표지 내용 오인하는 차량,L4,stop sign covered in graffiti|graffiti obscured stop sign|stop sign|stop signage|sign|stop|damaged,1
18,구부러진 정지 표지판,L2,표지 시인성 저하로 늦게 반응하는 차량,L4,bent stop sign|warped stop sign|stop sign|stop signage|sign|stop|damaged,1
19,녹슨 정지 표지판 기둥,L2,표지 위치 못 찾아 서행하는 차량,L4,rusted stop sign pole|corroded sign post|stop sign|stop signage|sign|stop|damaged,1
20,철거되다 만 정지 표지판,L2,정지 의무 여부 혼동하는 차량,L4,partially removed stop sign|half dismantled stop sign|stop sign|stop signage|sign|stop|damaged,1
21,색 바랜 속도제한 표지판,L2,제한속도 인지 못하고 과속하는 차량,L4,faded speed limit sign|discolored speed sign|speed limit sign|speed sign|sign|speed|damaged,1
22,가려진 속도제한 표지판,L2,속도 규제 모른 채 진입하는 차량,L4,obscured speed limit sign|blocked speed sign|speed limit sign|speed sign|sign|speed|damaged,1
23,쓰러진 속도제한 표지판,L2,속도 기준 없이 주행하는 차량,L4,fallen speed limit sign|toppled speed sign|speed limit sign|speed sign|sign|speed|damaged,1
24,숫자 지워진 속도제한 표지판,L2,제한속도 오인하고 과속하는 차량,L4,speed limit sign with erased numbers|illegible speed limit number|speed limit sign|speed sign|sign|speed|damaged,1
25,반사판 벗겨진 속도제한 표지판,L2,야간에 속도 표지 놓치는 차량,L4,speed sign missing reflective coating|worn reflective speed sign|speed limit sign|speed sign|sign|speed|damaged,1
26,녹슨 속도제한 표지판,L2,표지 노후로 무시하는 차량,L4,rusted speed limit sign|corroded speed sign|speed limit sign|speed sign|sign|speed|damaged,1
27,기울어진 속도제한 표지판,L2,표지 눈에 안 띄어 과속하는 차량,L4,tilted speed limit sign|leaning speed sign|speed limit sign|speed sign|sign|speed|damaged,1
28,낙서로 훼손된 속도제한 표지판,L2,표지 내용 오독하는 차량,L4,speed sign vandalized with graffiti|graffiti damaged speed sign|speed limit sign|speed sign|sign|speed|damaged,1
29,구간 표시 잘못된 속도제한 표지판,L2,잘못된 속도로 주행하는 차량,L4,incorrect speed limit sign|wrong speed zone sign|speed limit sign|speed sign|sign|speed|damaged,1
30,가로수에 가려진 속도제한 표지판,L2,속도 표지 못 보고 과속하는 차량,L4,speed sign blocked by trees|tree obscured speed limit sign|speed limit sign|speed sign|sign|speed|damaged,1
31,흐릿한 횡단보도 표시,L2,횡단보도 인지 못하고 서행 없이 통과하는 차량,L4,faint crosswalk marking|worn crosswalk marking|crosswalk marking|crosswalk sign|crosswalk|crossing|damaged,1
