No.,Original Keyword,Original Layer,Necessary and Sufficient Condition Keyword
1,Intersection Entry Traffic Light,L2,Vehicle Waiting for a Red Light
2,Intersection Entry Median Barrier,L2,Vehicle Colliding with Median Barrier
3,Intersection Entry Children Protection Zone Sign,L2,School Zone with High Child Density
4,Intersection Entry Bicycle-Only Lane Sign,L2,Queue of Bicycles on a Red Lane
5,Intersection Entry Speed Bump,L2,Vehicle Jolting Over a Speed Bump
6,Intersection Entry Pedestrian Island,L2,Pedestrians Waiting in the Median Refuge Island
7,Intersection Entry Convex Mirror,L2,Driver Checking the Convex Mirror
8,Intersection Entry Stop Line,L2,Vehicle Stopped Before the Solid Line
9,Intersection Entry Safety Zone,L2,Yellow Cross-Hatched Safety Space
10,Intersection Entry Colored Lane Guide Line,L2,Diverging Along the Colored Guide Line
11,Intersection Entry Delineator Post,L2,Vehicle Blocked by Center Orange Delineator Posts
12,Intersection Entry Automated Speed Enforcement Camera,L2,Vehicle Detected for Speeding
13,Intersection Entry Pedestrian Crossing Advance Warning Marking,L2,Vehicle Alerted by Ahead Diamond Marking for Pedestrian Crossing
14,Intersection Entry No-Entry Road Marking,L2,Vehicle in Front of the No-Entry Marking
15,Intersection Entry Flashing Traffic Signal,L2,Vehicle Decelerating at a Flashing Signal
16,Intersection Entry Pedestrian Safety Guardrail,L2,Pedestrian Climbing Over the Safety Guardrail
17,Intersection Entry Crash Cushion,L2,Vehicle Colliding at the Divergence Point Terminal
18,Intersection Entry Variable Message Sign (VMS),L2,Driver Checking Real-Time Information on VMS
19,Intersection Entry Wildlife Crossing Warning Sign,L2,Wildlife Warning Zone
20,Intersection Entry Right-Turn Only Traffic Signal,L2,Driver Waiting for a Right-Turn Signal
21,Straight Road Section Traffic Light,L2,Vehicle Stopped at a Red Light
22,Straight Road Section Median Barrier,L2,Vehicle Colliding with Median Barrier
23,Straight Road Section Children Protection Zone Sign,L2,School Zone with High Child Density
24,Straight Road Section Bicycle-Only Lane Sign,L2,Queue of Bicycles on a Red Lane
25,Straight Road Section Speed Bump,L2,Vehicle Jolting Over a Speed Bump
26,Straight Road Section Pedestrian Island,L2,Pedestrians Waiting in the Median Refuge Island
27,Straight Road Section Convex Mirror,L2,Driver Checking the Convex Mirror
28,Straight Road Section Stop Line,L2,Vehicle Stopped Before the Solid Line
29,Straight Road Section Safety Zone,L2,Yellow Cross-Hatched Safety Space
30,Straight Road Section Colored Lane Guide Line,L2,Diverging Along the Colored Guide Line
31,Straight Road Section Delineator Post,L2,Vehicle Blocked by Center Orange Delineator Posts
32,Straight Road Section Automated Speed Enforcement Camera,L2,Vehicle Detected for Speeding
33,Straight Road Section Pedestrian Crossing Advance Warning Marking,L2,Vehicle Alerted by Ahead Diamond Marking for Pedestrian Crossing
34,Straight Road Section No-Entry Road Marking,L2,Vehicle in Front of the No-Entry Marking
35,Straight Road Section Flashing Traffic Signal,L2,Vehicle Decelerating at a Flashing Signal
36,Straight Road Section Pedestrian Safety Guardrail,L2,Pedestrian Climbing Over the Safety Guardrail
37,Straight Road Section Crash Cushion,L2,Vehicle Colliding at the Divergence Point Terminal
38,Straight Road Section Variable Message Sign (VMS),L2,Driver Checking Real-Time Information on VMS
39,Straight Road Section Wildlife Crossing Warning Sign,L2,Collision with a Water Deer
40,3-Way Intersection Right-Turn Only Traffic Signal,L2,Driver Waiting for a Right-Turn Signal
41,Right-Turn Corner Traffic Light,L2,Vehicle Waiting to Turn Right at the Corner
42,Right-Turn Corner Median Barrier,L2,Corner Median Barrier Structure
43,Right-Turn Corner Children Protection Zone Sign,L2,School Zone with High Child Density
44,Right-Turn Corner Bicycle-Only Lane Sign,L2,Queue of Bicycles on a Red Lane
45,Right-Turn Corner Speed Bump,L2,Vehicle Jolting Over a Speed Bump
46,Right-Turn Corner Pedestrian Island,L2,Pedestrians Waiting in the Median Refuge Island
47,Right-Turn Corner Convex Mirror,L2,Driver Checking the Convex Mirror
48,Right-Turn Corner Stop Line,L2,Vehicle Stopped Before the Solid Line
49,Right-Turn Corner Safety Zone,L2,Yellow Cross-Hatched Safety Space
50,Right-Turn Corner Colored Lane Guide Line,L2,Diverging Along the Colored Guide Line
51,Right-Turn Corner Delineator Post,L2,Vehicle Restricted by Orange Delineator Posts on a Right-Turn Curve
52,Right-Turn Corner Automated Speed Enforcement Camera,L2,Vehicle Caught Violating Speed Reduction at a Corner
53,Right-Turn Corner Pedestrian Crossing Advance Warning Marking,L2,Vehicle Alerted by a Diamond Marking Before Entering a Corner
54,Right-Turn Corner No-Entry Road Marking,L2,Vehicle Approaching a No-Entry Marking Outside the Turning Trajectory
55,Right-Turn Corner Flashing Traffic Signal,L2,Vehicle Observing a Flashing Signal Before Entering a Corner
56,Right-Turn Corner Pedestrian Safety Guardrail,L2,Pedestrian Climbing Over the Sidewalk Boundary Guardrail
57,Right-Turn Corner Crash Cushion,L2,Vehicle Colliding with a Crash Cushion at a Corner Terminal
58,Right-Turn Corner Variable Message Sign (VMS),L2,Driver Reading the Electronic Message Before Turning
59,Right-Turn Corner Wildlife Crossing Warning Sign,L2,Water Deer Appearing at the Edge of a Corner
60,Right-Turn Corner Right-Turn Only Traffic Signal,L2,Driver Waiting for a Right-Turn Arrow Signal at a Corner
61,Traffic Light Near Bus Stop,L2,Vehicle Waiting for a Red Light in Front of a Bus Stop
62,Median Barrier Near Bus Stop,L2,Vehicle Impacting the Median Barrier Opposite the Platform
63,Children Protection Zone Sign Near Bus Stop,L2,Zone with High Child Density Around a School Bus Stop
64,Bicycle-Only Lane Sign Near Bus Stop,L2,Bicycle Flow on a Red Lane Next to a Bus Stop
65,Speed Bump Near Bus Stop,L2,Vehicle Jolting Over a Speed Bump Before a Stopping Zone
66,Pedestrian Island Near Bus Stop,L2,Central Refuge Space for Crossing Passengers
67,Convex Mirror Near Bus Stop,L2,Driver Watching a Convex Mirror to Check Bus Stop Blind Spots
68,Stop Line Near Bus Stop,L2,Vehicle Stopped Precisely Before the Solid Line in Front of a Bus Stop
69,Safety Zone Near Bus Stop,L2,Yellow Cross-Hatched Protective Space Near Boarding/Alighting Areas
70,Colored Lane Guide Line Near Bus Stop,L2,Colored Line Divergence Zone for Bypassing a Bus Stop
71,Delineator Post Near Bus Stop,L2,Vehicle Restricted by Delineator Posts at the Edge of a Bus Stop
72,Automated Speed Enforcement Camera Near Bus Stop,L2,Vehicle Caught Speeding in a Boarding/Alighting Zone
73,Pedestrian Crossing Advance Warning Marking Near Bus Stop,L2,Vehicle Recognizing an Advance Crossing Warning Before a Bus Stop
74,No-Entry Road Marking Near Bus Stop,L2,Vehicle in Front of a No-Entry Marking on a Bus Approach Surface
75,Flashing Traffic Signal Near Bus Stop,L2,Vehicle Checking a Flashing Signal When Approaching a Bus Stop
76,Pedestrian Safety Guardrail Near Bus Stop,L2,Pedestrian Climbing Over the Guardrail Next to Waiting Passengers
77,Crash Cushion Near Bus Stop,L2,Vehicle Colliding at the End of a Bus Stop Entry Divergence
78,Variable Message Sign (VMS) Near Bus Stop,L2,Driver Checking Electronic Information in Front of a Bus Stop
79,Wildlife Crossing Warning Sign Near Bus Stop,L2,Water Deer Watch Zone Around a Bus Stop
80,Right-Turn Only Traffic Signal Near Bus Stop,L2,Vehicle Waiting for a Right-Turn Signal Next to a Bus Stop
81,Traffic Light Proximity of Taxi Stand,L2,Vehicle Stopped at a Red Light in Front of a Taxi Stand
82,Median Barrier Proximity of Taxi Stand,L2,Vehicle Impacting the Median Structure Opposite a Taxi Lane
83,Children Protection Zone Sign Proximity of Taxi Stand,L2,School Zone Warning Area Along Taxi Stand Pedestrian Routes
84,Bicycle-Only Lane Sign Proximity of Taxi Stand,L2,Bicycle Flow on a Red Lane Next to a Taxi Stand
85,Speed Bump Proximity of Taxi Stand,L2,Vehicle Reacting to a Speed Bump Before Approaching a Taxi Stand
86,Pedestrian Island Proximity of Taxi Stand,L2,Central Pedestrian Refuge Point Connecting to a Taxi Stand
87,Convex Mirror Proximity of Taxi Stand,L2,Driver Looking at a Convex Mirror to Check Taxi Departures
88,Stop Line Proximity of Taxi Stand,L2,Vehicle Stopped Before the White Solid Line in Front of a Taxi Stand
89,Safety Zone Proximity of Taxi Stand,L2,Cross-Hatched Separation Zone for Passenger Protection
90,Colored Lane Guide Line Proximity of Taxi Stand,L2,Colored Line Guidance Zone for Avoiding a Taxi Stand
91,Delineator Post Proximity of Taxi Stand,L2,Vehicle Restricted by Orange Delineator Posts on the Side of a Taxi Stand
92,Automated Speed Enforcement Camera Proximity of Taxi Stand,L2,Vehicle Captured Violating Speed Limits Near a Taxi Stand
93,Pedestrian Crossing Advance Warning Marking Proximity of Taxi Stand,L2,Vehicle Observing a Diamond Advance Warning Marking in Front of a Taxi Stand
94,No-Entry Road Marking Proximity of Taxi Stand,L2,Vehicle Approaching a No-Entry Marking on a Taxi Stand surface
95,Flashing Traffic Signal Proximity of Taxi Stand,L2,Vehicle Decelerating at a Flashing Signal Adjacent to a Taxi Stand
96,Pedestrian Safety Guardrail Proximity of Taxi Stand,L2,Person Climbing Over a Taxi Stand Boundary Guardrail
97,Crash Cushion Proximity of Taxi Stand,L2,Vehicle Colliding with a Crash Cushion at a Taxi Stand Divergence Terminal
98,Variable Message Sign (VMS) Proximity of Taxi Stand,L2,Driver Reading the Electronic Guide Above a Taxi Stand
99,Wildlife Crossing Warning Sign Proximity of Taxi Stand,L2,Animal Watch Zone Around a Taxi Stand
100,Tunnel Approach Traffic Light,L2,Vehicle Waiting to Enter at a Red Light at a Tunnel Entrance
101,Tunnel Approach Median Barrier,L2,Vehicle Impacting the Center Median Wall at a Tunnel Entrance
102,Tunnel Approach Children Protection Zone Sign,L2,Zone Warning of Child Pedestrians in Front of a Tunnel
103,Tunnel Approach Bicycle-Only Lane Sign,L2,Bicycle Flow on a Red Lane Approaching a Tunnel
104,Tunnel Approach Speed Bump,L2,Vehicle Reacting to a Speed Bump Before Entering a Tunnel
105,Tunnel Approach Pedestrian Island,L2,Central Crossing Refuge Space in Front of a Tunnel
106,Tunnel Approach Convex Mirror,L2,Driver Looking at a Convex Mirror Before Entering a Dark Zone
107,Tunnel Approach Stop Line,L2,Vehicle Stopped Before the Solid Line at a Tunnel Entrance
108,Tunnel Approach Safety Zone,L2,Yellow Cross-Hatched Buffer Space Before a Tunnel
109,Tunnel Approach Colored Lane Guide Line,L2,Colored Line Guidance Zone Toward the Dark Zone Entry Direction
110,Center Area Near Bus Stop,L2,Lane Centering Alignment Section in Front of a Bus Stop
111,East Side of Diagonal Crosswalk,L2,East Side Approach Space of a Diagonal Pedestrian Path
112,Freight Truck Loading Zone Entrance,L2,Truck Waiting to Enter a Loading Zone
113,Traffic Light Underneath Elevated Road,L2,Vehicle Waiting for a Red Light Underneath a Bridge Pier
114,Median Barrier Underneath Elevated Road,L2,Vehicle Impacting a Median Structure Underneath an Elevated Road
115,Children Protection Zone Sign Underneath Elevated Road,L2,Child Warning Zone Underneath an Elevated Road Shadow
116,Bicycle-Only Lane Sign Underneath Elevated Road,L2,Exclusive Bicycle Flow on a Red Lane Next to a Bridge Pier
117,Speed Bump Underneath Elevated Road,L2,Vehicle Decelerating While Passing Over a Speed Bump Underneath a Bridge Pier
118,Pedestrian Island Underneath Elevated Road,L2,Central Pedestrian Refuge Space Underneath an Elevated Road
