번호,원본 키워드,원본 레이어,필요충분조건 키워드
1,상수도관 파열 복구용 라바콘,L3,주황 유도물 따라 우회하는 차량
2,상수도관 파열 복구용 바리게이트,L3,차로 차단물 앞 멈춘 차량
3,상수도관 파열 복구용 철제복공판,L3,금속 덮개 통과 진동 차량
4,상수도관 파열 복구용 임시 모래더미,L3,노면 위 흙무더기 회피 차량
5,상수도관 파열 복구용 아스팔트 절삭 단차,L3,깎인 노면 단차 넘는 차량
6,상수도관 파열 복구용 낙하물(종이박스),L3,차도 위 상자 피하는 차량
7,상수도관 파열 복구용 공사안내 임시표지판,L3,공사 안내판 보고 감속 차량
8,상수도관 파열 복구용 야간 점멸윙카,L3,야간 점멸등 보고 서행 차량
9,상수도관 파열 복구용 PE 물통 방호벽,L3,물통 차단선 옆 지나는 차량
10,상수도관 파열 복구용 임시 가설펜스,L3,펜스로 좁아진 통로 구간
11,상수도관 파열 복구용 노출된 지하배관,L3,드러난 배관 옆 통과 차량
12,상수도관 파열 복구용 뜯겨진 보도블럭,L3,깨진 보도 경계 발 디딘 보행자
13,상수도관 파열 복구용 임시 목재발판,L3,널판 위 조심히 건너는 보행자
14,상수도관 파열 복구용 포대자루 적치물,L3,포대 더미 옆으로 비켜가는 차량
15,상수도관 파열 복구용 도로 파임(포트홀),L3,파인 노면 피해가는 차량
16,상수도관 파열 복구용 임시 우회 화살표지판,L3,화살 유도 따라 방향 바꾸는 차량
17,상수도관 파열 복구용 사고현장 폴리스라인,L3,출입 통제선 앞 멈춘 사람
18,상수도관 파열 복구용 공사용 철근 구조물,L3,철근 골조 옆 좁아진 공간
19,상수도관 파열 복구용 임시 과속방지턱,L3,임시 턱 넘으며 감속 차량
20,상수도관 파열 복구용 보양천(천막) 덮개,L3,천막 덮인 작업구간 옆 통과 차량
21,도시가스 배관 공사용 라바콘,L3,가스 공사 앞 주황 유도물 따라 우회 차량
22,도시가스 배관 공사용 바리케이드,L3,가스 공사 차단물 앞 멈춘 차량
23,도시가스 배관 공사용 철제복공판,L3,가스 공사 금속 덮개 통과 진동 차량
24,도시가스 배관 공사용 임시 모래더미,L3,가스 공사 흙무더기 옆 비켜가는 차량
25,도시가스 배관 공사용 아스팔트 절삭 단차,L3,가스 공사 깎인 노면 단차 넘는 차량
26,도시가스 배관 공사용 낙하물(종이박스),L3,가스 공사 상자 낙하물 피하는 차량
27,도시가스 배관 공사용 공사안내 임시표지판,L3,가스 공사 안내판 보고 감속 차량
28,도시가스 배관 공사용 야간 점멸윙카,L3,가스 공사 야간 점멸등 보고 서행 차량
29,도시가스 배관 공사용 PE 물통 방호벽,L3,가스 공사 물통 차단선 옆 지나는 차량
30,도시가스 배관 공사용 임시 가설펜스,L3,가스 공사 펜스로 좁아진 통로 구간
31,도시가스 배관 공사용 노출된 지하배관,L3,가스 공사 드러난 배관 옆 통과 차량
32,도시가스 배관 공사용 뜯겨진 보도블럭,L3,가스 공사 깨진 보도 경계 밟는 보행자
33,도시가스 배관 공사용 임시 목재발판,L3,가스 공사 널판 위 조심히 건너는 보행자
34,도시가스 배관 공사용 포대자루 적치물,L3,가스 공사 포대 더미 옆 비켜가는 차량
35,도시가스 배관 공사용 도로 파임(포트홀),L3,가스 공사 파인 노면 피해가는 차량
36,도시가스 배관 공사용 임시 우회 화살표지판,L3,가스 공사 화살 유도 따라 방향 바꾸는 차량
37,도시가스 배관 공사용 사고현장 폴리스라인,L3,가스 공사 통제선 앞 멈춘 사람
38,도시가스 배관 공사용 공사용 철근 구조물,L3,가스 공사 철근 골조 옆 좁아진 공간
39,도시가스 배관 공사용 임시 과속방지턱,L3,가스 공사 임시 턱 넘으며 감속 차량
40,도시가스 배관 공사용 보양천(천막) 덮개,L3,가스 공사 천막 덮인 작업구간 옆 통과 차량
41,통신망 케이블 매설용 라바콘,L3,통신 공사 앞 주황 유도물 따라 우회 차량
42,통신망 케이블 매설용 바리케이드,L3,통신 공사 차단물 앞 멈춘 차량
43,통신망 케이블 매설용 철제복공판,L3,통신 공사 금속 덮개 통과 진동 차량
44,통신망 케이블 매설용 임시 모래더미,L3,통신 공사 흙무더기 옆 비켜가는 차량
45,통신망 케이블 매설용 아스팔트 절삭 단차,L3,통신 공사 깎인 노면 단차 넘는 차량
46,통신망 케이블 매설용 낙하물(종이박스),L3,통신 공사 상자 낙하물 피하는 차량
47,통신망 케이블 매설용 공사안내 임시표지판,L3,통신 공사 안내판 보고 감속 차량
48,통신망 케이블 매설용 야간 점멸윙카,L3,통신 공사 야간 점멸등 보고 서행 차량
49,통신망 케이블 매설용 PE 물통 방호벽,L3,통신 공사 물통 차단선 옆 지나는 차량
50,통신망 케이블 매설용 임시 가설펜스,L3,통신 공사 펜스로 좁아진 통로 구간
51,통신망 케이블 매설용 노출된 지하배관,L3,통신 공사 드러난 배관 옆 통과 차량
52,통신망 케이블 매설용 임시 목재발판,L3,통신 공사 널판 위 조심히 건너는 보행자
53,통신망 케이블 매설용 포대자루 적치물,L3,통신 공사 포대 더미 옆 비켜가는 차량
54,통신망 케이블 매설용 도로 파임(포트홀),L3,통신 공사 파인 노면 피해가는 차량
55,통신망 케이블 매설용 임시 우회 화살표지판,L3,통신 공사 화살 유도 따라 방향 바꾸는 차량
56,통신망 케이블 매설용 사고현장 폴리스라인,L3,통신 공사 통제선 앞 멈춘 사람
57,통신망 케이블 매설용 공사용 철근 구조물,L3,통신 공사 철근 골조 옆 좁아진 공간
58,통신망 케이블 매설용 임시 과속방지턱,L3,통신 공사 임시 턱 넘으며 감속 차량
59,통신망 케이블 매설용 보양천(천막) 덮개,L3,통신 공사 천막 덮인 작업구간 옆 통과 차량
60,가로수 전지 작업용 라바콘,L3,전지 작업 앞 주황 유도물 따라 우회 차량
61,가로수 전지 작업용 바리케이드,L3,전지 작업 차단물 앞 멈춘 차량
62,가로수 전지 작업용 철제복공판,L3,전지 작업 금속 덮개 통과 진동 차량
63,가로수 전지 작업용 임시 모래더미,L3,전지 작업 흙무더기 옆 비켜가는 차량
64,가로수 전지 작업용 아스팔트 절삭 단차,L3,전지 작업 깎인 노면 단차 넘는 차량
65,가로수 전지 작업용 낙하물(종이박스),L3,전지 작업 상자 낙하물 피하는 차량
66,가로수 전지 작업용 공사안내 임시표지판,L3,전지 작업 안내판 보고 감속 차량
67,가로수 전지 작업용 야간 점멸윙카,L3,전지 작업 야간 점멸등 보고 서행 차량
68,가로수 전지 작업용 PE 물통 방호벽,L3,전지 작업 물통 차단선 옆 지나는 차량
69,가로수 전지 작업용 임시 가설펜스,L3,전지 작업 펜스로 좁아진 통로 구간
70,가로수 전지 작업용 노출된 지하배관,L3,전지 작업 드러난 배관 옆 통과 차량
71,가로수 전지 작업용 뜯겨진 보도블럭,L3,전지 작업 깨진 보도 경계 밟는 보행자
72,가로수 전지 작업용 임시 목재발판,L3,전지 작업 널판 위 조심히 건너는 보행자
73,가로수 전지 작업용 포대자루 적치물,L3,전지 작업 포대 더미 옆 비켜가는 차량
74,가로수 전지 작업용 도로 파임(포트홀),L3,전지 작업 파인 노면 피해가는 차량
75,가로수 전지 작업용 임시 우회 화살표지판,L3,전지 작업 화살 유도 따라 방향 바꾸는 차량
76,가로수 전지 작업용 사고현장 폴리스라인,L3,전지 작업 통제선 앞 멈춘 사람
77,가로수 전지 작업용 공사용 철근 구조물,L3,전지 작업 철근 골조 옆 좁아진 공간
78,가로수 전지 작업용 임시 과속방지턱,L3,전지 작업 임시 턱 넘으며 감속 차량
79,가로수 전지 작업용 보양천(천막) 덮개,L3,전지 작업 천막 덮인 작업구간 옆 통과 차량
80,노면 균열 보수용 라바콘,L3,균열 보수 앞 주황 유도물 따라 우회 차량
81,노면 균열 보수용 바리케이드,L3,균열 보수 차단물 앞 멈춘 차량
82,노면 균열 보수용 철제복공판,L3,균열 보수 금속 덮개 통과 진동 차량
83,노면 균열 보수용 임시 모래더미,L3,균열 보수 흙무더기 옆 비켜가는 차량
84,노면 균열 보수용 아스팔트 절삭 단차,L3,균열 보수 깎인 노면 단차 넘는 차량
85,노면 균열 보수용 낙하물(종이박스),L3,균열 보수 상자 낙하물 피하는 차량
86,노면 균열 보수용 공사안내 임시표지판,L3,균열 보수 안내판 보고 감속 차량
87,노면 균열 보수용 야간 점멸윙카,L3,균열 보수 야간 점멸등 보고 서행 차량
